Boston Celtics,117,New Orleans Pelicans,109,8
Phoenix Suns,133,Utah Jazz,134,-1
New York Knicks,101,Golden State Warriors,111,-10
Detroit Pistons,121,Los Angeles Lakers,128,-7
Toronto Raptors,122,Atlanta Hawks,124,-2
Orlando Magic,113,Indiana Pacers,114,-1
Minnesota Timberwolves,112,Philadelphia 76ers,109,3
Utah Jazz,118,Portland Trail Blazers,113,5
San Antonio Spurs,97,Los Angeles Clippers,119,-22
New York Knicks,95,Phoenix Suns,116,-21
Detroit Pistons,129,Sacramento Kings,137,-8
Charlotte Hornets,102,Washington Wizards,106,-4
Memphis Grizzlies,115,Brooklyn Nets,127,-12
Miami Heat,87,Cleveland Cavaliers,113,-26
Golden State Warriors,127,Houston Rockets,120,7
Denver Nuggets,98,Dallas Mavericks,97,1
San Antonio Spurs,92,Los Angeles Lakers,123,-31
Atlanta Hawks,102,Cleveland Cavaliers,114,-12
Orlando Magic,102,Indiana Pacers,123,-21
Boston Celtics,107,Chicago Bulls,121,-14
Portland Trail Blazers,111,Milwaukee Bucks,119,-8
Miami Heat,101,Minnesota Timberwolves,105,-4
Golden State Warriors,83,New Orleans Pelicans,128,-45
New York Knicks,129,Oklahoma City Thunder,119,10
Utah Jazz,114,Los Angeles Clippers,121,-7
Brooklyn Nets,106,Philadelphia 76ers,115,-9
Sacramento Kings,113,Memphis Grizzlies,109,4
Detroit Pistons,110,Denver Nuggets,108,2
Los Angeles Lakers,105,Phoenix Suns,115,-10
Philadelphia 76ers,101,Charlotte Hornets,107,-6
Portland Trail Blazers,96,Cleveland Cavaliers,114,-18
Minnesota Timberwolves,115,Indiana Pacers,101,14
Sacramento Kings,106,Atlanta Hawks,115,-9
Dallas Mavericks,112,Boston Celtics,125,-13
Washington Wizards,105,Miami Heat,113,-8
Brooklyn Nets,112,Toronto Raptors,98,14
Chicago Bulls,118,Milwaukee Bucks,113,5
Denver Nuggets,131,Oklahoma City Thunder,126,5
New Orleans Pelicans,129,San Antonio Spurs,110,19
Detroit Pistons,125,Utah Jazz,116,9
Los Angeles Clippers,107,Golden State Warriors,124,-17
Minnesota Timberwolves,108,Charlotte Hornets,110,-2
